"location","avg_salary","n"
"San Mateo, CA","199605","33"
"Foster City, CA","178323","44"
"Mountain View, CA","163085","58"
"Rahway, NJ","158828","29"
"San Francisco Bay Area","155311","147"
"Sunnyvale, CA","153622","98"
"Los Gatos, CA","149048","16"
"Palo Alto, CA","146503","67"
"Stockton, CA","146210","24"
"Santa Clara, CA","145272","89"
"San Jose, CA","144306","230"
"Menlo Park, CA","142121","38"
"Reston, VA","142027","46"
"New York, United States","140753","264"
"San Francisco, CA","139403","399"
